"","X","name","address","city","state","zip","Zip.Plus","Contact.First.Name","Contact.Last.Name","contact","Phone","Business.Description","Primary.NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business.Type","County","Employee","Annual.Sales","URL","Year.Established","address_new","url","latitude","longitude"
"1",1,"Adventure Landing","2600 E Franklin Blvd","Gastonia","NC",28056,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"2600 E Franklin Blvd Gastonia NC 28056","www.adventurelanding.com",35.260613542945,-81.131735956983
"2",2,"Adventure Landing","3311 Capital Blvd","Raleigh","NC",27604,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"3311 Capital Blvd Raleigh NC 27604","www.adventurelanding.com",35.824405889245,-78.587515790201
"3",3,"Adventure Landing","1600 S Stratford Rd","Winston Salem","NC",27103,NA,NA,NA,NA,9190001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Wake",3,NA,"adventurelanding.com",2015,"1600 S Stratford Rd Winston Salem NC 27103","www.adventurelanding.com",36.072497696259,-80.303602374371
"4",4,"Carowinds","14523 Carowinds Blvd","Charlotte","NC",28273,6756,"Ronald","Luhrs","Manager",7045882600,"Amusement Places",713110,NA,NA,NA,NA,"Private","Mecklenburg",2000,115387000,"cedarfair.com",1973,"14523 Carowinds Blvd Charlotte NC 28273","www.cedarfair.com",35.10066165014,-80.94953476764
"5",5,"Flip N Fly","830 Inspiration Dr","Wilmington","NC",28405,4173,"Hunter","Meyers","Other",9106795050,"Amusement Places",713110,713990,NA,NA,NA,"Private","New Hanover",4,401000,"flipnfly.com",2018,"830 Inspiration Dr Wilmington NC 28405","www.flipnfly.com",34.243944904308,-77.829937935999
"6",9,"Appalachian Riverboard Co","174 Weaverville Rd # 6","Asheville","NC",28804,1238,"Kevin","Yount","Owner",8283522155,"Amusement Places",713110,NA,NA,NA,NA,"Private","Buncombe",2,207000,"appalachianriverboardcompany.com",2009,"174 Weaverville Rd # 6 Asheville NC 28804","www.appalachianriverboardcompany.com",35.648457454946,-82.581208613123
"7",10,"BBS Amusements","1300 Arendell St","Morehead City","NC",28557,4146,"Candace","Walston","Owner",2524999065,"Amusement Places",713110,423850,NA,NA,NA,"Private","Carteret",1,89000,"crystalcoastnc.org/listing/bbs-amusements-flashbax-arcade/23593/",2019,"1300 Arendell St Morehead City NC 28557","www.crystalcoastnc.org/listing/bbs-amusements-flashbax-arcade/23593/",34.722028853726,-76.719804373742
"8",11,"Fun City Indoor Playground","3551 Lackey St","Lumberton","NC",28360,9048,"Ayman S","Abdelmalek","Manager",9103700720,"Amusement Places",713110,712190,NA,NA,NA,"Private","Robeson",2,188000,"lumberton-nc.com/fun-city-lumberton/",2019,"3551 Lackey St Lumberton NC 28360","www.lumberton-nc.com/fun-city-lumberton/",34.645734826378,-79.014776664673
"9",12,"Gridlock Amusements","415 Western Blvd # B","Jacksonville","NC",28546,7645,"Ricky I","Mundy","Manager",9100001111,"Amusement Places",713110,NA,NA,NA,NA,"Private","Onslow",4,633000,"j-vegas.com",2020,"415 Western Blvd # B Jacksonville NC 28546","www.j-vegas.com",34.768219002072,-77.385078121793
"10",13,"Jp's Jump Masters","7005 Nexus Ct","Fayetteville","NC",28304,2672,"Kate","Meador","Manager",9102230200,"Amusement Places",713110,713120,713990,NA,NA,"Private","Cumberland",19,1931000,"jpsjumpmasters.com",2017,"7005 Nexus Ct Fayetteville NC 28304","www.jpsjumpmasters.com",35.034728095675,-79.015084739936
